symbol,strategy,L,train_net,test_net,train_trades,test_trades,test_MDD,liquidated,funding_paid,all_pass,vol
PLTRUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,3898649.7643
PLTRUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,3898649.7643
PLTRUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,3898649.7643
PUMPUSDT,F_fade,2,0.0,-0.9219675662240704,0,203,0.929975078367509,False,-3.0436235623594947,False,7057750.866188
PUMPUSDT,F_fade,3,0.0,-0.9830370849830222,0,203,0.9855624800455561,False,-3.4316999959455807,False,7057750.866188
PUMPUSDT,F_fade,5,0.0,-1.0,0,109,1.0,True,-3.0702791970265766,False,7057750.866188
PUMPUSDT,F_flip,2,0.0,0.26098590458691606,0,14,0.3050507964641125,False,-0.6432467084514901,False,7057750.866188
PUMPUSDT,F_flip,3,0.0,0.3117734451429137,0,14,0.42547180979862853,False,-0.9372604297711309,False,7057750.866188
PUMPUSDT,F_flip,5,0.0,0.21598439159959604,0,14,0.61445981207639,False,-1.3915040092594044,False,7057750.866188
PYTHUSDT,F_fade,2,0.0,-0.7122513350884108,0,213,0.778122843799966,False,-3.2748565297185412,False,2374697.80124
PYTHUSDT,F_fade,3,0.0,-0.8749569280911232,0,213,0.908480243414005,False,-4.025679673724648,False,2374697.80124
PYTHUSDT,F_fade,5,0.0,-1.0,0,172,1.0,True,-4.357308364520034,False,2374697.80124
PYTHUSDT,F_flip,2,0.0,-0.483629795394925,0,19,0.5735623296291865,False,-1.694444228851739,False,2374697.80124
PYTHUSDT,F_flip,3,0.0,-0.6742879527962715,0,19,0.753260007400911,False,-2.074166977526872,False,2374697.80124
PYTHUSDT,F_flip,5,0.0,-1.0,0,4,1.0,True,-1.4596351740836195,False,2374697.80124
QQQUSDT,F_fade,2,0.0,0.04378961188060004,0,12,0.035288941653185524,False,-6.790368252183006,False,8929204.385
QQQUSDT,F_fade,3,0.0,0.06536192905327143,0,12,0.052711544886987816,False,-10.210407835815607,False,8929204.385
QQQUSDT,F_fade,5,0.0,0.1077183551180323,0,12,0.08709932898634265,False,-17.097038709019948,False,8929204.385
QQQUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,8929204.385
QQQUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,8929204.385
QQQUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,8929204.385
RAVEUSDT,F_fade,2,-1.0,-0.3664327272814164,2,142,0.7814670048414993,False,-8.792707083393378,False,11227264.14077
RAVEUSDT,F_fade,3,-1.0,-0.6470207553906098,0,142,0.9118674176244421,False,-14.198979402569591,False,11227264.14077
RAVEUSDT,F_fade,5,-1.0,-1.0,0,90,1.0,True,-25.73744040106358,False,11227264.14077
RAVEUSDT,F_flip,2,-1.0,0.14595345637920998,0,2,0.1068255676269001,False,-0.2746090230172942,False,11227264.14077
RAVEUSDT,F_flip,3,-1.0,0.20953809812920943,0,2,0.15911379086270394,False,-0.4245031665234607,False,11227264.14077
RAVEUSDT,F_flip,5,-1.0,0.31069319841065024,0,2,0.2610326752897959,False,-0.7413655768793138,False,11227264.14077
RENDERUSDT,F_fade,2,0.0,-0.5275722329783281,0,179,0.5504459449691359,False,-3.712671552817054,False,1890598.01858
RENDERUSDT,F_fade,3,0.0,-0.7179748875264584,0,179,0.7378272084918651,False,-4.412658997206785,False,1890598.01858
RENDERUSDT,F_fade,5,0.0,-1.0,0,105,1.0,True,-4.040855949771792,False,1890598.01858
RENDERUSDT,F_flip,2,0.0,0.3239793864591427,0,17,0.27345973533210677,False,-2.0844455176774,False,1890598.01858
RENDERUSDT,F_flip,3,0.0,0.4225213505574874,0,17,0.402738437169453,False,-3.5328232148812875,False,1890598.01858
RENDERUSDT,F_flip,5,0.0,0.43213815156701396,0,17,0.6292163164625602,False,-7.061196038026468,False,1890598.01858
RESOLVUSDT,F_fade,2,0.0,-0.754585462062269,0,227,0.790840085300949,False,-4.366542603096348,False,1479019.98085
RESOLVUSDT,F_fade,3,0.0,-0.9216997286456241,0,227,0.936911517142037,False,-4.597789180650133,False,1479019.98085
RESOLVUSDT,F_fade,5,0.0,-1.0,0,165,1.0,True,-3.928808052016733,False,1479019.98085
RESOLVUSDT,F_flip,2,0.0,-0.38154539163582546,0,8,0.5493167904848766,False,0.12515171214332646,False,1479019.98085
RESOLVUSDT,F_flip,3,0.0,-0.5566232878150363,0,8,0.7133162969908929,False,0.3161161421771042,False,1479019.98085
RESOLVUSDT,F_flip,5,0.0,-1.0,0,6,1.0,True,0.876547932148336,False,1479019.98085
RIVERUSDT,F_fade,2,0.0,0.22543373303434766,0,18,0.24584967155759174,False,-6.885084146909377,False,1408469.192
RIVERUSDT,F_fade,3,0.0,0.30002030173774386,0,18,0.3562548504808837,False,-11.444908615069046,False,1408469.192
RIVERUSDT,F_fade,5,0.0,0.3464059625964153,0,18,0.5471257763456414,False,-22.651113767041892,False,1408469.192
RIVERUSDT,F_flip,2,0.0,-0.0715945659693803,0,1,0.15592698005957772,False,-0.1763002996549415,False,1408469.192
RIVERUSDT,F_flip,3,0.0,-0.10909811660393742,0,1,0.22682977317494346,False,-0.25181588437770047,False,1408469.192
RIVERUSDT,F_flip,5,0.0,-0.18652381353043712,0,1,0.3553437103251692,False,-0.3779895286202413,False,1408469.192
RKLBUSDT,F_fade,2,-0.5045801380778949,0.25590212281586355,17,9,0.059513308172137847,False,-1.3715921657958763,False,3988492.385
RKLBUSDT,F_fade,3,-0.6814876644149324,0.3967735660004723,17,9,0.0881627432665385,False,-2.2227705058282234,False,3988492.385
RKLBUSDT,F_fade,5,-0.8937881673502854,0.7025054519948069,17,9,0.14332165735466507,False,-4.307577946768838,False,3988492.385
RKLBUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,3988492.385
RKLBUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,3988492.385
RKLBUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,3988492.385
SEIUSDT,F_fade,2,0.0,-0.28650936582606046,0,68,0.573850648116097,False,-5.449325041133008,False,1724326.55367
SEIUSDT,F_fade,3,0.0,-0.46866618559027384,0,68,0.7432813770497233,False,-6.455748650844279,False,1724326.55367
SEIUSDT,F_fade,5,0.0,-1.0,0,38,1.0,True,-4.747292290699154,False,1724326.55367
SEIUSDT,F_flip,2,0.0,0.2653535266515885,0,4,0.1658232875011354,False,-0.25468568445251044,False,1724326.55367
SEIUSDT,F_flip,3,0.0,0.3783798512948031,0,4,0.24367670987905532,False,-0.43483411455346804,False,1724326.55367
SEIUSDT,F_flip,5,0.0,0.5322395401662317,0,4,0.388595815653732,False,-0.822435599451873,False,1724326.55367
SHIBUSDT,F_fade,2,0.0,-0.04155234413140685,0,66,0.2660631916767884,False,-2.4702682420602216,False,3353858.7866
SHIBUSDT,F_fade,3,0.0,-0.10452484565510434,0,66,0.3913349612815612,False,-3.5063592662548406,False,3353858.7866
SHIBUSDT,F_fade,5,0.0,-0.29323588912080645,0,66,0.6104521794230096,False,-5.045024861815803,False,3353858.7866
SHIBUSDT,F_flip,2,0.0,-0.1150125293379064,0,6,0.19773517953425124,False,-1.0255734793375129,False,3353858.7866
SHIBUSDT,F_flip,3,0.0,-0.1771859503493266,0,6,0.28775226293068157,False,-1.4627181603242188,False,3353858.7866
